demo_gender,demo_age,demo_under_30,demo_senior_citizen,demo_married,demo_dependents,demo_number_of_dependents,loc_city,loc_zip_code,loc_latitude,loc_longitude,svc_referred_a_friend,svc_number_of_referrals,svc_tenure_in_months,svc_offer,svc_phone_service,svc_avg_monthly_long_distance_charges,svc_multiple_lines,svc_internet_service,svc_internet_type,svc_avg_monthly_gb_download,svc_online_security,svc_online_backup,svc_device_protection_plan,svc_premium_tech_support,svc_streaming_tv,svc_streaming_movies,svc_streaming_music,svc_unlimited_data,svc_contract,svc_paperless_billing,svc_payment_method,svc_monthly_charge,svc_total_charges,svc_total_refunds,svc_total_extra_data_charges,svc_total_long_distance_charges,svc_total_revenue,st_satisfaction_score,st_customer_status,churn_flag,st_cltv,st_churn_category,st_churn_reason,zip_population
Female,70,No,Yes,Yes,No,0,Adin,96006,41.171578,-120.913161,Yes,1,43,Offer B,No,0.0,No,Yes,DSL,21,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,55.55,2342.2,0.0,0,0.0,2342.2,1,Churned,1,2573,Competitor,Competitor had better devices,615
Male,74,No,Yes,Yes,No,0,Paskenta,96074,39.884395,-122.587513,Yes,2,10,No offer,Yes,46.5,Yes,Yes,Cable,4,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.65,856.65,0.0,0,465.0,1321.65,1,Churned,1,4990,Dissatisfaction,Limited range of services,263
Female,77,No,Yes,No,No,0,Red Bluff,96080,40.186772,-122.388361,No,0,37,Offer C,Yes,41.85,Yes,Yes,Fiber Optic,2,Yes,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,106.75,4056.75,0.0,0,1548.45,5605.2,1,Churned,1,5849,Price,Lack of affordable download/upload speed,26438
Male,66,No,Yes,Yes,No,0,Doyle,96109,40.012675,-120.101857,Yes,1,12,No offer,Yes,48.5,Yes,Yes,Fiber Optic,4,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1218.55,0.0,0,582.0,1800.55,1,Churned,1,3967,Dissatisfaction,Product dissatisfaction,1177
Male,70,No,Yes,No,No,0,Sierra City,96125,39.600599,-120.636358,No,0,35,Offer C,Yes,35.1,Yes,Yes,Fiber Optic,29,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.45,3474.05,0.0,80,1228.5,4782.55,2,Churned,1,2080,Other,Don't know,348
Female,68,No,Yes,No,No,0,Tahoe Vista,96148,39.24124,-120.054765,No,0,1,Offer E,Yes,45.8,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,69.6,0.0,0,45.8,115.39999999999999,2,Churned,1,2151,Dissatisfaction,Poor expertise of online support,678
Female,65,No,Yes,No,No,0,Los Angeles,90007,34.027337,-118.28515,No,0,1,Offer E,Yes,18.37,No,Yes,Fiber Optic,13,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,78.45,78.45,0.0,0,18.37,96.82000000000001,1,Churned,1,2139,Dissatisfaction,Product dissatisfaction,45025
Female,76,No,Yes,No,No,0,San Diego,92121,32.898613,-117.202937,No,0,9,Offer E,Yes,12.91,Yes,Yes,Fiber Optic,21,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.45,762.5,0.0,0,116.19,878.69,3,Churned,1,3543,Competitor,Competitor made better offer,4258
Male,73,No,Yes,No,No,0,Los Angeles,90024,34.066303,-118.435479,No,0,38,Offer C,Yes,5.75,No,Yes,Cable,30,No,Yes,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,70.15,2497.35,0.0,0,218.5,2715.85,3,Churned,1,2645,Price,Lack of affordable download/upload speed,44150
Male,70,No,Yes,No,No,0,Los Angeles,90028,34.099869,-118.326843,No,0,51,Offer B,Yes,19.49,Yes,Yes,Fiber Optic,11,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,97.8,4913.3,0.0,0,993.9899999999999,5907.29,2,Churned,1,6204,Price,Long distance charges,30568
Female,68,No,Yes,No,No,0,Los Angeles,90039,34.110845,-118.259595,No,0,5,No offer,Yes,41.83,Yes,Yes,Fiber Optic,25,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.15,446.05,0.0,0,209.14999999999998,655.2,3,Churned,1,2516,Dissatisfaction,Service dissatisfaction,29310
Female,77,No,Yes,No,No,0,Culver City,90230,33.993991,-118.39704,No,0,2,No offer,Yes,23.46,Yes,Yes,Fiber Optic,25,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.45,158.4,0.0,0,46.92,205.32,3,Churned,1,3350,Price,Long distance charges,31963
Female,73,No,Yes,No,No,0,Culver City,90232,34.019323,-118.391902,No,0,2,No offer,Yes,25.74,No,Yes,DSL,6,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,54.85,104.2,0.0,0,51.48,155.68,1,Churned,1,3016,Price,Extra data charges,15195
Male,71,No,Yes,Yes,No,0,Gardena,90248,33.876482,-118.284077,Yes,1,1,No offer,Yes,4.89,Yes,Yes,Fiber Optic,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.1,95.1,0.0,0,4.89,99.99,1,Churned,1,5795,Price,Price too high,9960
Male,69,No,Yes,Yes,No,0,Torrance,90501,33.833699,-118.314387,Yes,1,53,Offer B,Yes,7.94,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.9,5549.4,0.0,0,420.82,5970.219999999999,1,Churned,1,5884,Price,Price too high,40705
Male,80,No,Yes,Yes,No,0,Montebello,90640,34.015217,-118.109962,Yes,1,51,Offer B,Yes,22.14,Yes,Yes,Fiber Optic,30,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.8,4750.95,0.0,0,1129.14,5880.09,1,Churned,1,4788,Dissatisfaction,Limited range of services,62425
Male,66,No,Yes,Yes,No,0,Lakewood,90713,33.847755,-118.112532,No,0,72,No offer,Yes,6.03,Yes,Yes,Fiber Optic,2,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,104.15,7689.95,0.0,0,434.16,8124.11,3,Churned,1,5925,Price,Extra data charges,27563
Male,79,No,Yes,No,No,0,Arcadia,91007,34.128284,-118.047732,No,0,5,No offer,Yes,4.59,No,Yes,Fiber Optic,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,91.4,449.75,0.0,0,22.95,472.7,1,Churned,1,2834,Dissatisfaction,Network reliability,30933
Male,80,No,Yes,No,No,0,Canoga Park,91304,34.224377,-118.632656,No,0,1,No offer,Yes,28.49,Yes,Yes,Fiber Optic,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.35,75.35,0.0,0,28.49,103.83999999999999,3,Churned,1,4403,Attitude,Attitude of support person,49242
Female,78,No,Yes,No,No,0,Stevenson Ranch,91381,34.364153,-118.615583,No,0,11,No offer,Yes,4.1,Yes,Yes,Fiber Optic,5,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,84.8,906.85,0.0,0,45.099999999999994,951.95,2,Churned,1,5118,Price,Extra data charges,9937
Female,67,No,Yes,Yes,No,0,Castaic,91384,34.506627,-118.699048,Yes,1,50,Offer B,Yes,31.56,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,95.05,4888.7,0.0,50,1578.0,6516.7,3,Churned,1,5863,Price,Price too high,22177
Male,73,No,Yes,No,No,0,Van Nuys,91401,34.178483,-118.431791,No,0,5,No offer,Yes,18.69,No,Yes,DSL,28,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,237.25,0.0,0,93.45,330.7,1,Churned,1,4618,Dissatisfaction,Product dissatisfaction,40376
Male,75,No,Yes,No,No,0,North Hollywood,91605,34.207295,-118.400022,No,0,5,No offer,Yes,36.36,Yes,Yes,Fiber Optic,12,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,502.6,0.0,0,181.8,684.4000000000001,1,Churned,1,2960,Other,Moved,57146
Male,67,No,Yes,No,No,0,West Covina,91790,34.066964,-117.937007,No,0,9,No offer,Yes,10.66,Yes,Yes,Fiber Optic,15,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,99.45,919.4,0.0,0,95.94,1015.3399999999999,1,Churned,1,2313,Competitor,Competitor had better devices,44099
Female,75,No,Yes,No,No,0,Campo,91906,32.673483,-116.472863,No,0,2,No offer,Yes,9.55,No,Yes,Fiber Optic,28,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.2,115.95,0.0,0,19.1,135.05,1,Churned,1,2767,Competitor,Competitor offered more data,3133
Male,80,No,Yes,Yes,No,0,Chula Vista,91915,32.605012,-116.97595,Yes,2,51,Offer B,Yes,43.58,Yes,Yes,Cable,22,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.2,4146.05,0.0,0,2222.58,6368.63,2,Churned,1,6245,Competitor,Competitor offered more data,9278
Male,72,No,Yes,Yes,No,0,Spring Valley,91978,32.730264,-116.950963,No,0,26,Offer C,Yes,1.26,Yes,Yes,Fiber Optic,18,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,105.75,2710.25,0.0,90,32.76,2833.01,1,Churned,1,3157,Dissatisfaction,Product dissatisfaction,7863
Female,70,No,Yes,Yes,No,0,Bonsall,92003,33.290907,-117.202895,Yes,1,18,No offer,No,0.0,No,Yes,DSL,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,48.35,810.7,0.0,0,0.0,810.7,2,Churned,1,2167,Dissatisfaction,Service dissatisfaction,3849
Female,73,No,Yes,Yes,No,0,Escondido,92029,33.079834,-117.134275,Yes,1,1,Offer E,Yes,24.24,No,Yes,Cable,9,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.55,49.55,0.0,0,24.24,73.78999999999999,1,Churned,1,4989,Dissatisfaction,Limited range of services,17944
Female,75,No,Yes,Yes,No,0,Pala,92059,33.384345,-117.072619,Yes,1,2,Offer E,Yes,6.86,No,Yes,DSL,20,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.15,115.1,0.0,0,13.72,128.82,1,Churned,1,5461,Competitor,Competitor had better devices,1831
Male,70,No,Yes,Yes,No,0,Pauma Valley,92061,33.313828,-116.940501,Yes,1,29,Offer C,Yes,35.38,Yes,Yes,Fiber Optic,21,No,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.9,2745.2,0.0,50,1026.02,3821.22,3,Churned,1,2151,Price,Extra data charges,2615
Female,77,No,Yes,No,No,0,Vista,92084,33.22784,-117.200024,No,0,1,Offer E,No,0.0,No,Yes,DSL,15,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,25.25,25.25,0.0,0,0.0,25.25,2,Churned,1,4628,Price,Price too high,44692
Male,80,No,Yes,Yes,No,0,San Diego,92129,32.961064,-117.134917,Yes,1,46,Offer B,Yes,5.36,Yes,Yes,Fiber Optic,22,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.0,4680.05,0.0,0,246.56,4926.610000000001,1,Churned,1,2436,Competitor,Competitor made better offer,47224
Female,78,No,Yes,No,No,0,Indian Wells,92210,33.537646,-116.291089,No,0,1,Offer E,Yes,24.75,No,Yes,Fiber Optic,22,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,71.15,71.15,0.0,20,24.75,115.9,3,Churned,1,5287,Competitor,Competitor made better offer,3873
Female,69,No,Yes,No,No,0,Desert Hot Springs,92241,33.832799,-116.250973,No,0,20,No offer,Yes,11.82,Yes,Yes,Fiber Optic,5,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.15,1520.9,0.0,0,236.4,1757.3000000000002,1,Churned,1,4997,Attitude,Attitude of support person,5529
Male,71,No,Yes,Yes,No,0,North Palm Springs,92258,33.906496,-116.569499,Yes,1,46,Offer B,Yes,48.62,No,Yes,Fiber Optic,3,No,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,80.4,3605.2,0.0,20,2236.52,5861.719999999999,3,Churned,1,4876,Competitor,Competitor offered more data,732
Male,70,No,Yes,No,No,0,Crestline,92325,34.248061,-117.29028,No,0,2,No offer,Yes,25.19,Yes,Yes,Fiber Optic,14,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,196.75,0.0,0,50.38,247.13,1,Churned,1,4998,Price,Lack of affordable download/upload speed,10484
Female,66,No,Yes,No,No,0,Lucerne Valley,92356,34.508417,-116.856103,No,0,1,Offer E,Yes,26.22,No,Yes,Cable,22,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,55.8,55.8,0.0,0,26.22,82.02,1,Churned,1,5527,Dissatisfaction,Service dissatisfaction,5256
Male,77,No,Yes,No,No,0,Redlands,92373,34.003243,-117.138286,No,0,41,Offer B,Yes,42.06,Yes,Yes,Fiber Optic,21,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.4,4187.75,0.0,0,1724.46,5912.21,1,Churned,1,2169,Competitor,Competitor had better devices,31230
Male,71,No,Yes,Yes,No,0,Running Springs,92382,34.186211,-117.07683,Yes,1,66,No offer,Yes,30.03,Yes,Yes,DSL,15,Yes,Yes,Yes,Yes,Yes,No,No,No,Two Year,No,Credit Card,79.4,5154.6,0.0,150,1981.98,7286.58,1,Churned,1,5910,Competitor,Competitor offered higher download speeds,5395
Male,68,No,Yes,No,No,0,Victorville,92394,34.567058,-117.362329,No,0,35,Offer C,Yes,39.69,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.4,3496.3,0.0,0,1389.1499999999999,4885.45,3,Churned,1,3689,Competitor,Competitor offered more data,12083
Male,71,No,Yes,Yes,No,0,Wrightwood,92397,34.358321,-117.618263,No,0,10,No offer,Yes,16.88,Yes,Yes,Fiber Optic,24,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,914.3,0.0,0,168.79999999999998,1083.1,2,Churned,1,5124,Competitor,Competitor made better offer,4253
Female,79,No,Yes,No,No,0,San Bernardino,92408,34.084909,-117.258107,No,0,26,Offer C,Yes,34.69,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,91.25,2351.8,0.0,0,901.9399999999999,3253.7400000000002,3,Churned,1,5154,Attitude,Attitude of support person,12149
Female,80,No,Yes,No,No,0,Riverside,92508,33.885499,-117.324959,No,0,18,No offer,Yes,2.36,Yes,Yes,Fiber Optic,21,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.45,1505.85,0.0,0,42.48,1548.33,1,Churned,1,5145,Competitor,Competitor offered more data,17147
Male,65,No,Yes,No,No,0,Lake Elsinore,92532,33.705836,-117.318204,No,0,1,Offer E,Yes,28.46,No,Yes,Fiber Optic,12,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,71.65,71.65,0.0,0,28.46,100.11000000000001,2,Churned,1,5674,Competitor,Competitor offered more data,4546
Female,70,No,Yes,No,No,0,Perris,92570,33.787298,-117.320676,No,0,1,Offer E,Yes,48.95,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.2,74.2,0.0,0,48.95,123.15,2,Churned,1,4684,Price,Price too high,36817
Male,68,No,Yes,Yes,No,0,Temecula,92590,33.475493,-117.219551,Yes,8,43,Offer B,Yes,31.25,Yes,Yes,Fiber Optic,20,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,101.0,4388.4,0.0,150,1343.75,5882.15,1,Churned,1,3123,Dissatisfaction,Product dissatisfaction,3070
Male,80,No,Yes,Yes,No,0,Temecula,92592,33.507255,-117.029473,Yes,3,25,Offer C,Yes,33.63,Yes,Yes,Fiber Optic,25,Yes,No,No,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,89.05,2177.45,0.0,0,840.7500000000001,3018.2,1,Churned,1,2673,Competitor,Competitor made better offer,46171
Male,77,No,Yes,Yes,No,0,Irvine,92620,33.716136,-117.752574,Yes,1,36,No offer,Yes,16.61,Yes,Yes,Fiber Optic,3,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.5,3436.1,0.0,0,597.96,4034.06,3,Churned,1,4652,Price,Lack of affordable download/upload speed,26419
Male,65,No,Yes,Yes,No,0,Corona Del Mar,92625,33.600987,-117.862734,Yes,1,1,Offer E,Yes,49.6,No,Yes,Fiber Optic,13,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,70.85,70.85,0.0,0,49.6,120.44999999999999,2,Churned,1,3022,Price,Long distance charges,13422
Male,66,No,Yes,Yes,No,0,Santa Ana,92705,33.766004,-117.786763,Yes,1,41,Offer B,Yes,45.04,Yes,Yes,Cable,29,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,111.95,4534.9,0.0,0,1846.6399999999999,6381.539999999999,2,Churned,1,3711,Other,Don't know,44117
Male,70,No,Yes,No,No,0,Camarillo,93010,34.227846,-119.079903,No,0,1,No offer,Yes,16.19,No,Yes,Fiber Optic,12,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,69.1,69.1,0.0,0,16.19,85.28999999999999,3,Churned,1,2767,Other,Moved,42853
Female,69,No,Yes,No,No,0,Somis,93066,34.297628,-119.014627,No,0,2,Offer E,Yes,43.96,Yes,Yes,Fiber Optic,14,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.55,149.55,0.0,0,87.92,237.47000000000003,2,Churned,1,5203,Competitor,Competitor made better offer,2966
Male,66,No,Yes,No,No,0,Coalinga,93210,36.186867,-120.387793,No,0,49,Offer B,Yes,32.36,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.2,4718.25,0.0,0,1585.6399999999999,6303.889999999999,2,Churned,1,5904,Attitude,Attitude of support person,18036
Female,75,No,Yes,No,No,0,Ducor,93218,35.846067,-119.004073,No,0,6,Offer E,Yes,8.91,No,Yes,Fiber Optic,27,No,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,74.4,434.1,0.0,20,53.46,507.56,1,Churned,1,3964,Competitor,Competitor offered more data,823
Female,75,No,Yes,Yes,No,0,Huron,93234,36.217864,-120.080117,Yes,1,7,Offer E,Yes,21.43,Yes,Yes,Fiber Optic,12,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.55,646.85,0.0,0,150.01,796.86,1,Churned,1,5245,Competitor,Competitor made better offer,6918
Female,67,No,Yes,No,No,0,Mc Kittrick,93251,35.38381,-119.730885,No,0,20,Offer D,Yes,29.29,Yes,Yes,Fiber Optic,15,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,85.8,1727.5,0.0,0,585.8,2313.3,1,Churned,1,3336,Price,Price too high,302
Female,75,No,Yes,Yes,No,0,Visalia,93277,36.303793,-119.375646,No,0,54,Offer B,Yes,33.49,Yes,Yes,Fiber Optic,8,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,101.5,5373.1,0.0,0,1808.46,7181.56,2,Churned,1,6405,Price,Lack of affordable download/upload speed,44741
Female,74,No,Yes,No,No,0,Woody,93287,35.710244,-118.881679,No,0,2,Offer E,Yes,15.32,No,Yes,Fiber Optic,21,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,131.65,0.0,0,30.64,162.29000000000002,3,Churned,1,4596,Price,Extra data charges,88
Female,74,No,Yes,No,No,0,Boron,93516,34.95703,-117.73045,No,0,30,No offer,No,0.0,No,Yes,Cable,7,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,40.3,1172.95,0.0,100,0.0,1272.95,2,Churned,1,3016,Other,Don't know,2241
Male,67,No,Yes,Yes,No,0,Palmdale,93551,34.613476,-118.256358,Yes,1,58,Offer B,Yes,3.18,Yes,Yes,Fiber Optic,5,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.7,5812.6,0.0,0,184.44,5997.04,1,Churned,1,4662,Competitor,Competitor had better devices,34045
Female,74,No,Yes,Yes,No,0,Palmdale,93591,34.598221,-117.79593,Yes,1,68,No offer,Yes,21.33,Yes,Yes,Cable,24,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.2,6851.65,0.0,0,1450.4399999999998,8302.09,1,Churned,1,4481,Competitor,Competitor offered more data,6787
Female,69,No,Yes,Yes,No,0,Helm,93627,36.520537,-120.118055,Yes,1,24,No offer,Yes,13.38,Yes,Yes,Fiber Optic,12,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.55,2264.05,0.0,0,321.12,2585.17,2,Churned,1,4937,Price,Price too high,152
Male,70,No,Yes,Yes,No,0,Parlier,93648,36.622237,-119.521126,Yes,1,27,No offer,Yes,39.49,Yes,Yes,Fiber Optic,7,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.55,2510.2,0.0,0,1066.23,3576.43,1,Churned,1,2999,Dissatisfaction,Service dissatisfaction,12587
Female,79,No,Yes,No,No,0,Daly City,94014,37.691561,-122.445202,No,0,2,No offer,No,0.0,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,24.35,41.85,0.0,0,0.0,41.85,1,Churned,1,3278,Competitor,Competitor had better devices,47453
Female,76,No,Yes,No,No,0,Half Moon Bay,94019,37.45567,-122.407992,No,0,29,No offer,Yes,20.98,Yes,Yes,Fiber Optic,16,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,98.65,2862.75,0.0,0,608.42,3471.17,1,Churned,1,4235,Attitude,Attitude of support person,17929
Male,78,No,Yes,Yes,No,0,Loma Mar,94021,37.266388,-122.26308,Yes,1,5,No offer,Yes,6.66,Yes,Yes,Fiber Optic,14,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,79.9,343.95,0.0,20,33.3,397.25,2,Churned,1,4324,Competitor,Competitor offered more data,148
Female,79,No,Yes,No,No,0,Atherton,94027,37.454924,-122.203168,No,0,28,No offer,Yes,28.14,Yes,Yes,Fiber Optic,10,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,103.3,2890.65,0.0,0,787.9200000000001,3678.57,2,Churned,1,4136,Competitor,Competitor made better offer,6876
Male,73,No,Yes,No,No,0,San Francisco,94104,37.791222,-122.402241,No,0,24,No offer,Yes,3.23,Yes,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,102.95,2496.7,0.0,0,77.52,2574.22,3,Churned,1,5245,Attitude,Attitude of support person,384
Female,74,No,Yes,Yes,No,0,Concord,94519,37.990118,-122.012188,Yes,7,43,Offer B,Yes,8.75,Yes,Yes,Fiber Optic,13,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Credit Card,109.55,4830.25,0.0,0,376.25,5206.5,2,Churned,1,5863,Dissatisfaction,Limited range of services,18650
Male,73,No,Yes,No,No,0,Crockett,94525,38.049292,-122.228415,No,0,2,No offer,Yes,5.57,No,Yes,Cable,24,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,66.4,94.55,0.0,0,11.14,105.69,1,Churned,1,4522,Price,Long distance charges,3193
Male,71,No,Yes,Yes,No,0,Fairfield,94533,38.287136,-122.02711,Yes,6,66,No offer,Yes,49.85,Yes,Yes,Fiber Optic,14,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.05,6871.9,0.0,0,3290.1,10162.0,2,Churned,1,4512,Price,Extra data charges,77683
Female,68,No,Yes,Yes,No,0,Pinole,94564,37.996462,-122.293716,Yes,1,66,No offer,Yes,27.75,Yes,Yes,Fiber Optic,11,No,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Credit Card,105.95,6975.25,0.0,0,1831.5,8806.75,2,Churned,1,6117,Other,Don't know,16717
Female,70,No,Yes,No,No,0,Port Costa,94569,38.035707,-122.196821,No,0,31,No offer,Yes,15.43,Yes,Yes,Fiber Optic,2,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,2217.15,0.0,0,478.33,2695.48,1,Churned,1,2560,Attitude,Attitude of support person,173
Female,66,No,Yes,No,No,0,Vallejo,94590,38.104705,-122.247387,No,0,37,No offer,Yes,3.3,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.55,3580.3,0.0,0,122.1,3702.4,2,Churned,1,4448,Attitude,Attitude of service provider,37218
Male,65,No,Yes,No,No,0,Oakland,94601,37.776523,-122.219268,No,0,24,No offer,Yes,28.98,Yes,Yes,Fiber Optic,30,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,2440.15,0.0,0,695.52,3135.67,3,Churned,1,4287,Attitude,Attitude of support person,54876
Male,78,No,Yes,No,No,0,San Pablo,94806,37.980269,-122.342635,No,0,2,No offer,Yes,43.66,No,Yes,DSL,25,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.15,92.65,0.0,0,87.32,179.97,2,Churned,1,5655,Attitude,Attitude of support person,55720
Female,74,No,Yes,No,No,0,San Rafael,94903,38.018065,-122.546024,No,0,8,No offer,Yes,13.8,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,606.25,0.0,0,110.4,716.65,3,Churned,1,4174,Competitor,Competitor offered more data,28403
Male,78,No,Yes,Yes,No,0,Corte Madera,94925,37.924014,-122.511694,Yes,1,1,No offer,Yes,17.51,Yes,Yes,Fiber Optic,21,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.3,80.3,0.0,0,17.51,97.81,1,Churned,1,4138,Competitor,Competitor had better devices,9038
Female,79,No,Yes,No,No,0,Point Reyes Station,94956,38.060264,-122.830646,No,0,9,No offer,Yes,43.34,No,Yes,Fiber Optic,2,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.85,751.65,0.0,0,390.06000000000006,1141.71,2,Churned,1,5242,Attitude,Attitude of support person,1885
Female,76,No,Yes,No,No,0,Boulder Creek,95006,37.171727,-122.142961,No,0,49,Offer B,Yes,44.88,Yes,Yes,Fiber Optic,15,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,90.85,4515.85,0.0,0,2199.1200000000003,6714.970000000001,2,Churned,1,5651,Attitude,Attitude of support person,10520
